,WAB
% Below High,0.0325
% Held by Institutions,0.9217
52-Wk Range,['78.26 - 102.11']
Annual Dividend $,0.6
Annual Dividend %,0.0059
Ask,148.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,87.0
Bid Size,200.0
Closing Price,98.79
Day Change $,-2.09
Day Change %,-0.0207
Day High,100.4
Day Low,98.43
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.59
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.326
Last (size),1800.0
Last (time),7:00p ET 11/28/22
Market Cap,18.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.08
Prev Close,100.88
Shares Outstanding,181.9M
Short Interest,0.018500000000000003
Today's Open,100.05
Volume,359007.0
Volume 10-day Avg,687396.0
Volume Past Day,(Light)
