,MAS
% Above Low,0.20320000000000002
% Held by Institutions,0.9554
52-Wk Range,['42.33 - 71.06']
Annual Dividend $,1.12
Annual Dividend %,0.022000000000000002
Ask,50.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,50.1
Bid Size,100.0
Change Since Close,-0.15| |(-0.29%)
Closing Price,50.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35000000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,50.78
Market Cap,11.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.96
Prev Close,50.93
Shares Outstanding,225.5M
Short Interest,0.0217
Today's Open,
Volume,5.0
Volume 10-day Avg,1637362.0
Volume Past Day,(Light)
