,MAS
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.008196721311475308
Growth 1yr High Est,0.04497354497354511
Growth 1yr Consensus Est,0.02658513314251021
Growth 2yr Low Est,-0.03248700519792086
Growth 2yr High Est,0.04147411425892433
Growth 2yr Consensus Est,0.004493554530501737
Growth 5yr Low Est,0.12991844803318883
Growth 5yr High Est,0.17183595822836323
Growth 5yr Consensus Est,0.15087720313077602
Growth 5yr Actual/Est,0.14185273735273735
Growth 3yr Historic,0.14314102564102565
