,MAS
Price/Earnings (TTM),13.96448
Price/Sales (TTM),1.30837
Price/Book (MRQ),
Price/Cash Flow (TTM),10.82582
5yr Low,27.03
5yr High,71.06
5yr Avg Return,0.09505000000000001
EPS Growth 5yr,0.0185147
Revenue Growth 5yr,0.026147
Dividend Growth 5yr,0.1702515
Short Int Current Month,4863970.0
Short Int Prev Month,5602247.0
Short Int Pct of Float,0.021650100000000002
Days to Cover,2.10645
Float,224.7364
Shares Outstanding,225.5291
Institutions Holding Shares,959.0
% Held by Institutions,0.955398
FCF Growth 5yr,-0.014488246877254696
