,BKI
% Above Low,0.2056
% Held by Institutions,0.8782
52-Wk Range,['52.00 - 84.27']
Annual Dividend $,
Annual Dividend %,
Ask,83.98
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,59.43
Bid Size,500.0
Closing Price,62.69
Day Change $,-1.3
Day Change %,-0.0203
Day High,64.75
Day Low,62.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.337
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,9.8B
"P/E Ratio (TTM, GAAP)",19.66
Prev Close,63.99
Shares Outstanding,156.0M
Short Interest,0.0197
Today's Open,64.25
Volume,407970.0
Volume 10-day Avg,952362.0
Volume Past Day,(Light)
