,BKI
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.01739130434782621
Growth 1yr High Est,0.12658227848101267
Growth 1yr Consensus Est,0.07198679141441944
Growth 2yr Low Est,-0.023355629877368944
Growth 2yr High Est,0.1438154838097948
Growth 2yr Consensus Est,0.06022992696621293
Growth 5yr Low Est,0.03623885172798219
Growth 5yr High Est,0.1219077419048974
Growth 5yr Consensus Est,0.07907329681643979
Growth 5yr Actual/Est,0.06972496183688659
Growth 3yr Historic,0.04706589821143636
