,MDC
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.006218905472636704
Growth 1yr High Est,0.009744214372715998
Growth 1yr Consensus Est,0.0017626544500396468
Growth 2yr Low Est,-0.3873397405961431
Growth 2yr High Est,-0.22190714492461905
Growth 2yr Consensus Est,-0.3046234427603811
Growth 5yr Low Est,0.14063245528332372
Growth 5yr High Est,0.2013751946609782
Growth 5yr Consensus Est,0.171003824972151
Growth 5yr Actual/Est,0.10955895275701794
Growth 3yr Historic,0.2543534366425262
