,MDC
% Above Low,0.18420000000000003
% Held by Institutions,0.7311
52-Wk Range,['27.04 - 56.53']
Annual Dividend $,2.0
Annual Dividend %,0.0625
Ask,51.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,25.0
Bid Size,200.0
Closing Price,32.02
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",8.8
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.459
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.64
Prev Close,32.02
Shares Outstanding,71.3M
Short Interest,0.0565
Today's Open,
Volume,158919.0
Volume 10-day Avg,719163.0
Volume Past Day,(Light)
