,MDC
Price/Earnings (TTM),3.63703
Price/Sales (TTM),0.40285
Price/Book (MRQ),0.75819
Price/Cash Flow (TTM),3.38848
5yr Low,14.58
5yr High,63.86
5yr Avg Return,0.06683333333333331
EPS Growth 5yr,0.3974988
Revenue Growth 5yr,0.1769435
Dividend Growth 5yr,0.1899753
Short Int Current Month,3190229.0
Short Int Prev Month,3679509.0
Short Int Pct of Float,0.056488699999999996
Days to Cover,3.37159
Float,56.44826
Shares Outstanding,71.26418
Institutions Holding Shares,365.0
% Held by Institutions,0.731118
FCF Growth 5yr,0.0017842335189656537
