,QCRH
Price/Earnings (TTM),8.98002
Price/Sales (TTM),2.9877
Price/Book (MRQ),1.19355
Price/Cash Flow (TTM),8.40069
5yr Low,22.39
5yr High,62.85
5yr Avg Return,0.0513
EPS Growth 5yr,0.2338912
Revenue Growth 5yr,0.1345658
Dividend Growth 5yr,0.0844718
Short Int Current Month,180126.0
Short Int Prev Month,218628.0
Short Int Pct of Float,0.0110076
Days to Cover,2.64223
Float,16.37046
Shares Outstanding,16.88442
Institutions Holding Shares,216.0
% Held by Institutions,0.6999580000000001
FCF Growth 5yr,2.382958469673147
