,QCRH
% Above Low,0.1014
% Held by Institutions,0.7
52-Wk Range,['47.23 - 62.85']
Annual Dividend $,0.24
Annual Dividend %,0.0046
Ask,52.08
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,52.0
Bid Size,100.0
Day Change $,-0.08
Day Change %,-0.0015
Day High,52.12
Day Low,51.61
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",5.8
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.27399999999999997
Last (size),100.0
Last (time),12:03p ET 11/28/22
Market Cap,877.1M
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,52.1
Price,52.02
Shares Outstanding,16.9M
Short Interest,0.011000000000000001
Today's Open,51.8
Volume Past Day,(Light)
