,APA
Price/Earnings (TTM),4.43659
Price/Sales (TTM),1.36927
Price/Book (MRQ),25.03907
Price/Cash Flow (TTM),2.84936
5yr Low,3.8
5yr High,51.95
5yr Avg Return,0.12915000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0827013
Dividend Growth 5yr,-0.3275492
Short Int Current Month,9280523.0
Short Int Prev Month,8865095.0
Short Int Pct of Float,0.0289776
Days to Cover,1.33282
Float,320.3459
Shares Outstanding,321.5118
Institutions Holding Shares,875.0
% Held by Institutions,0.7878310000000001
FCF Growth 5yr,0.507131534173596
