,APA
% Below High,0.1063
% Held by Institutions,0.7878000000000001
52-Wk Range,['22.94 - 51.95']
Annual Dividend $,1.0
Annual Dividend %,0.0215
Ask,46.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,3.7
Bid,46.24
Bid Size,100.0
Closing Price,46.43
Day Change $,-0.35
Day Change %,-0.0075
Day High,47.2
Day Low,46.1
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",10.47
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.5970000000000001
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,14.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.44
Prev Close,46.78
Shares Outstanding,321.5M
Short Interest,0.028999999999999998
Today's Open,47.2
Volume,2876251.0
Volume 10-day Avg,5680085.0
Volume Past Day,(Light)
