,FB
Price/Earnings (TTM),10.62498
Price/Sales (TTM),2.50103
Price/Book (MRQ),2.3926
Price/Cash Flow (TTM),7.9488
5yr Low,88.09
5yr High,384.33
5yr Avg Return,0.02895000000000001
EPS Growth 5yr,0.3156816
Revenue Growth 5yr,0.3366657
Dividend Growth 5yr,
Short Int Current Month,41523267.0
Short Int Prev Month,35331958.0
Short Int Pct of Float,0.0185723
Days to Cover,0.58282
Float,2236.207
Shares Outstanding,2651.549
Institutions Holding Shares,3832.0
% Held by Institutions,0.730156
FCF Growth 5yr,-0.07328099244239361
