,FB
% Above Low,0.2647
% Held by Institutions,0.7302
52-Wk Range,['88.09 - 352.71']
Annual Dividend $,
Annual Dividend %,
Ask,110.25
Ask Size,100.0
Ask close,118.26
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,110.15
Bid Size,300.0
Bid close,104.27
Change Since Close,-1.21| |(-1.09%)
Closing Price,111.41
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.49
Ex-dividend Date,No dividend
Historical Volatility,0.6609999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,110.2
Market Cap,295.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.62
Prev Close,111.41
Short Interest,0.018600000000000002
Today's Open,
Volume,14931.0
Volume 10-day Avg,39378924.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,52.0
Growth 1yr Low Est,-0.3702290076335878
Growth 1yr High Est,-0.3063742289239205
Growth 1yr Consensus Est,-0.33830161827875416
Growth 2yr Low Est,-0.3845084432107333
Growth 2yr High Est,-0.05486695635919342
Growth 2yr Consensus Est,-0.21968769978496336
Growth 5yr Low Est,0.14466334111864765
Growth 5yr High Est,0.14424282239843797
Growth 5yr Consensus Est,0.14445308175854282
Growth 5yr Actual/Est,0.1133102556477035
Growth 3yr Historic,0.23348109626117663
Price/Earnings (TTM),10.62498
Price/Sales (TTM),2.50103
Price/Book (MRQ),2.3926
Price/Cash Flow (TTM),7.9488
5yr Low,88.09
5yr High,384.33
5yr Avg Return,0.02895000000000001
EPS Growth 5yr,0.3156816
Revenue Growth 5yr,0.3366657
Dividend Growth 5yr,
Short Int Current Month,41523267.0
Short Int Prev Month,35331958.0
Short Int Pct of Float,0.0185723
Days to Cover,0.58282
Float,2236.207
Shares Outstanding,2651.549
Institutions Holding Shares,3832.0
FCF Growth 5yr,-0.07328099244239361
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-04-09 00:00:00
theStreet since,2022-03-07 00:00:00
cfra since,2021-05-03 00:00:00
ford since,2021-10-15 00:00:00
marketEdge opinion since,
