,FB
% Above Low,0.2647
% Held by Institutions,0.7302
52-Wk Range,['88.09 - 352.71']
Annual Dividend $,
Annual Dividend %,
Ask,110.25
Ask Size,100.0
Ask close,118.26
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,110.15
Bid Size,300.0
Bid close,104.27
Change Since Close,-1.21| |(-1.09%)
Closing Price,111.41
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.49
Ex-dividend Date,No dividend
Historical Volatility,0.6609999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,110.2
Market Cap,295.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.62
Prev Close,111.41
Shares Outstanding,2.7B
Short Interest,0.018600000000000002
Today's Open,
Volume,14931.0
Volume 10-day Avg,39378924.0
Volume Past Day,(Light)
