,KALV
% Above Low,0.2597
% Held by Institutions,1.0326
52-Wk Range,['4.12 - 17.35']
Annual Dividend $,
Annual Dividend %,
Ask,5.39
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,4.7
Bid Size,500.0
Closing Price,5.19
Day Change $,-0.12
Day Change %,-0.0226
Day High,5.32
Day Low,5.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.64
Ex-dividend Date,No dividend
Historical Volatility,1.067
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,127.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.31
Shares Outstanding,24.6M
Short Interest,0.08689999999999999
Today's Open,5.32
Volume,46529.0
Volume 10-day Avg,210616.0
Volume Past Day,(Light)
