,FBNC
% Below High,0.0039000000000000003
% Held by Institutions,0.6934
52-Wk Range,['32.90 - 49.00']
Annual Dividend $,0.88
Annual Dividend %,0.018000000000000002
Ask,49.79
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,33.78
Bid Size,100.0
Closing Price,48.81
Day Change $,0.45
Day Change %,0.009300000000000001
Day High,49.0
Day Low,48.6
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.292
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.66
Prev Close,48.36
Shares Outstanding,35.7M
Short Interest,0.027000000000000003
Today's Open,48.6
Volume,41079.0
Volume 10-day Avg,138901.0
Volume Past Day,(Light)
