,CVS
Price/Earnings (TTM),43.03022
Price/Sales (TTM),0.42209
Price/Book (MRQ),1.88386
Price/Cash Flow (TTM),17.80202
5yr Low,51.72
5yr High,111.25
5yr Avg Return,0.07838333333333333
EPS Growth 5yr,0.0394667
Revenue Growth 5yr,0.10470779999999999
Dividend Growth 5yr,0.0330378
Short Int Current Month,13248308.0
Short Int Prev Month,13287392.0
Short Int Pct of Float,0.010128999999999999
Days to Cover,1.74115
Float,1309.006
Shares Outstanding,1313.967
Institutions Holding Shares,2862.0
% Held by Institutions,0.7701699999999999
FCF Growth 5yr,0.7771551278573027
