,CVS
% Below High,0.0898
% Held by Institutions,0.7702
52-Wk Range,['86.28 - 111.25']
Annual Dividend $,2.2
Annual Dividend %,0.0217
Ask,101.4
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,0.7
Bid,101.05
Bid Size,100.0
Closing Price,101.26
Day Change $,1.2
Day Change %,0.012
Day High,101.55
Day Low,100.19
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.27
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,133.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",43.03
Prev Close,100.06
Shares Outstanding,1.3B
Short Interest,0.0101
Today's Open,100.61
Volume,2464847.0
Volume 10-day Avg,5755433.0
Volume Past Day,(Light)
