,PUBM
% Above Low,0.09789999999999999
% Held by Institutions,0.5581
52-Wk Range,['13.75 - 43.65']
Annual Dividend $,
Annual Dividend %,
Ask,15.11
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,
Bid,15.07
Bid Size,300.0
Day Change $,-0.36
Day Change %,-0.0233
Day High,15.36
Day Low,14.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.761
Last (size),100.0
Last (time),11:52a ET 11/28/22
Market Cap,793.2M
"P/E Ratio (TTM, GAAP)",16.12
Prev Close,15.45
Price,15.09
Shares Outstanding,52.6M
Short Interest,0.0602
Today's Open,15.19
Volume Past Day,(Light)
