,NEM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.3735408560311283
Growth 1yr High Est,-0.31692307692307686
Growth 1yr Consensus Est,-0.3452319664771026
Growth 2yr Low Est,-0.32031080068637163
Growth 2yr High Est,-0.027830907830907914
Growth 2yr Consensus Est,-0.17407085425863977
Growth 5yr Low Est,0.12273361733285015
Growth 5yr High Est,0.2167551884783523
Growth 5yr Consensus Est,0.16974440290560122
Growth 5yr Actual/Est,0.20061774386464787
Growth 3yr Historic,0.2819833675096833
