,NEM
Price/Earnings (TTM),37.63163
Price/Sales (TTM),3.00644
Price/Book (MRQ),1.71351
Price/Cash Flow (TTM),14.94576
5yr Low,29.06
5yr High,86.37
5yr Avg Return,0.054200000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.1284262
Dividend Growth 5yr,0.7746084000000001
Short Int Current Month,14798569.0
Short Int Prev Month,14874962.0
Short Int Pct of Float,0.0186772
Days to Cover,1.53576
Float,792.4149
Shares Outstanding,793.7387
Institutions Holding Shares,1580.0
% Held by Institutions,0.7913509999999999
FCF Growth 5yr,0.3550250133165973
