,NEM
% Above Low,0.2243
% Held by Institutions,0.7914
52-Wk Range,['37.45 - 86.37']
Annual Dividend $,2.2
Annual Dividend %,0.048
Ask,46.24
Ask Size,100.0
B/A Ratio,26.0
B/A Size,2600x100
Beta,0.3
Bid,46.1
Bid Size,2600.0
Change Since Close,0.25| |(0.55%)
Closing Price,45.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",1.22
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.386
Last (size),52.0
Last (time),5:00p ET 11/25/22
Last Trade,46.1
Market Cap,36.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.63
Prev Close,45.85
Shares Outstanding,793.7M
Short Interest,0.0187
Today's Open,
Volume,5230.0
Volume 10-day Avg,6511498.0
Volume Past Day,(Light)
