,ESTE
% Above Low,0.6620999999999999
% Held by Institutions,0.6502
52-Wk Range,['9.41 - 22.25']
Annual Dividend $,
Annual Dividend %,
Ask,17.25
Ask Size,100.0
B/A Ratio,24.0
B/A Size,2400x100
Beta,2.1
Bid,15.64
Bid Size,2400.0
Closing Price,15.64
Day Change $,-0.25
Day Change %,-0.015700000000000002
Day High,16.19
Day Low,15.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.5
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,15.89
Shares Outstanding,105.4M
Short Interest,0.14400000000000002
Today's Open,16.01
Volume,463600.0
Volume 10-day Avg,1437324.0
Volume Past Day,(Light)
