,ESTE
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.10300429184549365
Growth 2yr High Est,0.2157534246575341
Growth 2yr Consensus Est,0.05637456640602023
Growth 5yr Low Est,-0.10300429184549365
Growth 5yr High Est,0.2157534246575341
Growth 5yr Consensus Est,0.05637456640602023
Growth 5yr Actual/Est,1.1096528453919758
Growth 3yr Historic,0.30434782608695654
