,PGR
Price/Earnings (TTM),93.14822
Price/Sales (TTM),1.5837
Price/Book (MRQ),5.39
Price/Cash Flow (TTM),65.57765
5yr Low,50.79
5yr High,132.93
5yr Avg Return,0.17108333333333334
EPS Growth 5yr,0.2629013
Revenue Growth 5yr,0.1527978
Dividend Growth 5yr,-0.10089980000000001
Short Int Current Month,3521983.0
Short Int Prev Month,3969799.0
Short Int Pct of Float,0.0060441
Days to Cover,1.29495
Float,582.9624
Shares Outstanding,585.1
Institutions Holding Shares,1521.0
% Held by Institutions,0.8428749999999999
FCF Growth 5yr,0.12668228083017496
