,PGR
% Below High,0.011000000000000001
% Held by Institutions,0.8429000000000001
52-Wk Range,['92.44 - 132.93']
Annual Dividend $,0.4
Annual Dividend %,0.003
Ask,131.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,131.43
Bid Size,100.0
Day Change $,-0.105
Day Change %,-0.0008
Day High,132.49
Day Low,130.12
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.263
Last (size),51.0
Last (time),10:44a ET 11/28/22
Market Cap,76.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.15
Prev Close,131.57
Price,131.47
Shares Outstanding,585.0M
Short Interest,0.006
Today's Open,131.29
Volume Past Day,(Light)
