,PGR
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.08695652173913038
Growth 1yr High Est,-0.12426035502958577
Growth 1yr Consensus Est,-0.018651916645227695
Growth 2yr Low Est,0.034144927536231884
Growth 2yr High Est,0.3162482008635854
Growth 2yr Consensus Est,0.17519656419990864
Growth 5yr Low Est,-0.01742535468639539
Growth 5yr High Est,0.20132047298148045
Growth 5yr Consensus Est,0.09194755914754253
Growth 5yr Actual/Est,0.15600256470302132
Growth 3yr Historic,-0.025372208436724553
