,LOCO
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.273972602739726
Growth 1yr High Est,-0.2784810126582279
Growth 1yr Consensus Est,-0.27622680769897695
Growth 2yr Low Est,0.013957094856552055
Growth 2yr High Est,0.08882966910948259
Growth 2yr Consensus Est,0.05139338198301732
Growth 5yr Low Est,0.010450769650498237
Growth 5yr High Est,0.05774816788807466
Growth 5yr Consensus Est,0.03409946876928645
Growth 5yr Actual/Est,0.037801221766739
Growth 3yr Historic,0.038846153846153864
