,LOCO
Price/Earnings (TTM),19.06817
Price/Sales (TTM),0.85542
Price/Book (MRQ),1.20209
Price/Cash Flow (TTM),11.37307
5yr Low,6.15
5yr High,21.96
5yr Avg Return,0.03620000000000001
EPS Growth 5yr,0.1120042
Revenue Growth 5yr,0.0363245
Dividend Growth 5yr,
Short Int Current Month,1801909.0
Short Int Prev Month,1704989.0
Short Int Pct of Float,0.0918072
Days to Cover,7.17475
Float,19.6955
Shares Outstanding,37.04918
Institutions Holding Shares,168.0
% Held by Institutions,0.919726
FCF Growth 5yr,-0.2308765926581562
