,WSO
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.33495145631067946
Growth 1yr High Est,0.3280669144981412
Growth 1yr Consensus Est,0.3315091854044103
Growth 2yr Low Est,0.06893027360988513
Growth 2yr High Est,0.18012862869763602
Growth 2yr Consensus Est,0.12452945115376057
Growth 5yr Low Est,0.18010394743199454
Growth 5yr High Est,0.23839286954976996
Growth 5yr Consensus Est,0.20924840849088225
Growth 5yr Actual/Est,0.21701765893455519
Growth 3yr Historic,0.15406616920882255
