,YUM
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.0022988505747125743
Growth 1yr High Est,-0.03389830508474578
Growth 1yr Consensus Est,-0.01809857782972918
Growth 2yr Low Est,0.06221463001218286
Growth 2yr High Est,0.0740596193874517
Growth 2yr Consensus Est,0.06813712469981728
Growth 5yr Low Est,0.09658727698930064
Growth 5yr High Est,0.1057354834525911
Growth 5yr Consensus Est,0.10116138022094587
Growth 5yr Actual/Est,0.09889694300453791
Growth 3yr Historic,0.0629406271885456
