,YUM
% Below High,0.0958
% Held by Institutions,0.7829999999999999
52-Wk Range,['103.97 - 139.85']
Annual Dividend $,2.28
Annual Dividend %,0.018000000000000002
Ask,128.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,124.16
Bid Size,100.0
Closing Price,126.45
Day Change $,-0.08
Day Change %,-0.0006
Day High,127.07
Day Low,126.05
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.39
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.244
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,35.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.82
Prev Close,126.53
Shares Outstanding,281.7M
Short Interest,0.009300000000000001
Today's Open,126.28
Volume,1514916.0
Volume 10-day Avg,1768800.0
Volume Past Day,(Below Average)
