,YUM
Price/Earnings (TTM),28.82403
Price/Sales (TTM),5.30939
Price/Book (MRQ),
Price/Cash Flow (TTM),24.83761
5yr Low,54.95
5yr High,139.85
5yr Avg Return,0.08041666666666668
EPS Growth 5yr,0.15429589999999999
Revenue Growth 5yr,0.0070735
Dividend Growth 5yr,0.0113783
Short Int Current Month,2608003.0
Short Int Prev Month,2551899.0
Short Int Pct of Float,0.0092707
Days to Cover,1.25017
Float,281.387
Shares Outstanding,281.6879
Institutions Holding Shares,1385.0
% Held by Institutions,0.782992
FCF Growth 5yr,0.3598416267314797
