,GATX
% Below High,0.12279999999999999
% Held by Institutions,1.0179
52-Wk Range,['84.96 - 127.58']
Annual Dividend $,2.08
Annual Dividend %,0.018600000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,44.97
Bid Size,
Closing Price,111.91
Day Change $,-0.08
Day Change %,-0.0007000000000000001
Day High,113.32
Day Low,111.91
Dividend Pay Date,2022-12-31 00:00:00
"EPS (TTM, GAAP)",4.69
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.294
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",23.87
Prev Close,111.99
Shares Outstanding,35.2M
Short Interest,0.0672
Today's Open,112.37
Volume,35212.0
Volume 10-day Avg,119191.0
Volume Past Day,(Light)
