,GATX
Price/Earnings (TTM),23.8749
Price/Sales (TTM),3.09859
Price/Book (MRQ),2.03175
Price/Cash Flow (TTM),7.7912
5yr Low,50.69
5yr High,127.58
5yr Avg Return,0.11513333333333334
EPS Growth 5yr,-0.0875865
Revenue Growth 5yr,-0.0237949
Dividend Growth 5yr,0.045639599999999995
Short Int Current Month,2336237.0
Short Int Prev Month,2600693.0
Short Int Pct of Float,0.06719610000000001
Days to Cover,16.93306
Float,34.79123
Shares Outstanding,35.2
Institutions Holding Shares,328.0
% Held by Institutions,1.0178660000000002
FCF Growth 5yr,0.10329418812564879
