,GATX
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.3111111111111111
Growth 1yr High Est,0.3157894736842106
Growth 1yr Consensus Est,0.31345029239766087
Growth 2yr Low Est,0.19369114877589444
Growth 2yr High Est,0.2287280701754386
Growth 2yr Consensus Est,0.21120960947566653
Growth 5yr Low Est,0.12912743251726297
Growth 5yr High Est,0.15248538011695909
Growth 5yr Consensus Est,0.14080640631711103
Growth 5yr Actual/Est,0.07268013856600272
Growth 3yr Historic,-0.07501315985889487
