,IBM
Price/Earnings (TTM),91.61017
Price/Sales (TTM),2.21603
Price/Book (MRQ),6.68187
Price/Cash Flow (TTM),20.53348
5yr Low,90.56
5yr High,171.13
5yr Avg Return,0.006266666666666668
EPS Growth 5yr,-0.16232500000000002
Revenue Growth 5yr,-0.0642137
Dividend Growth 5yr,0.0355611
Short Int Current Month,30466418.0
Short Int Prev Month,28957162.0
Short Int Pct of Float,0.0337277
Days to Cover,6.36947
Float,903.3251
Shares Outstanding,904.1263
Institutions Holding Shares,2833.0
% Held by Institutions,0.553453
FCF Growth 5yr,-0.01035789380858291
