,IBM
% Below High,0.0139
% Held by Institutions,0.5535
52-Wk Range,['114.56 - 150.46']
Annual Dividend $,6.6
Annual Dividend %,0.044500000000000005
Ask,148.89
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.9
Bid,148.37
Bid Size,900.0
Closing Price,148.37
Day Change $,-0.38
Day Change %,-0.0026
Day High,149.49
Day Low,148.1
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",1.62
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.23500000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,134.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.61
Prev Close,148.75
Shares Outstanding,904.1M
Short Interest,0.0337
Today's Open,148.27
Volume,2075156.0
Volume 10-day Avg,4506100.0
Volume Past Day,(Light)
