,OBNK
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.2000000000000002
Growth 1yr High Est,1.2857142857142856
Growth 1yr Consensus Est,1.2428571428571429
Growth 2yr Low Est,0.8142857142857144
Growth 2yr High Est,0.8474025974025974
Growth 2yr Consensus Est,0.8308441558441559
Growth 5yr Low Est,0.3099812850904554
Growth 5yr High Est,0.33964957456336764
Growth 5yr Consensus Est,0.3248154298269116
Growth 5yr Actual/Est,0.4379589369510225
Growth 3yr Historic,0.4118916242218449
