,OBNK
Price/Earnings (TTM),11.91826
Price/Sales (TTM),4.23553
Price/Book (MRQ),1.42487
Price/Cash Flow (TTM),13.45738
5yr Low,15.98
5yr High,47.58
5yr Avg Return,0.05827999999999999
EPS Growth 5yr,0.6558144
Revenue Growth 5yr,0.11671469999999999
Dividend Growth 5yr,
Short Int Current Month,620216.0
Short Int Prev Month,497634.0
Short Int Pct of Float,0.0213437
Days to Cover,6.60493
Float,29.05844
Shares Outstanding,30.6742
Institutions Holding Shares,175.0
% Held by Institutions,0.477782
FCF Growth 5yr,0.8175615627777214
