,OBNK
% Below High,0.1085
% Held by Institutions,0.4778
52-Wk Range,['36.80 - 47.28']
Annual Dividend $,0.6
Annual Dividend %,0.014199999999999999
Ask,44.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,16.86
Bid Size,100.0
Closing Price,42.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.257
Last (size),85.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,42.15
Shares Outstanding,30.7M
Short Interest,0.0213
Today's Open,
Volume,43530.0
Volume 10-day Avg,93390.0
Volume Past Day,(Light)
