,WLK
% Above Low,0.25780000000000003
% Held by Institutions,0.271
52-Wk Range,['81.29 - 141.19']
Annual Dividend $,1.43
Annual Dividend %,0.0134
Ask,126.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,90.52
Bid Size,100.0
Closing Price,102.24
Day Change $,-4.16
Day Change %,-0.0391
Day High,105.09
Day Low,101.79
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",20.51
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.391
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,13.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,106.4
Shares Outstanding,127.5M
Short Interest,0.0913
Today's Open,104.66
Volume,488700.0
Volume 10-day Avg,545457.0
Volume Past Day,(Below Average)
