,NEWR
% Above Low,0.2631
% Held by Institutions,0.8436
52-Wk Range,['41.66 - 114.28']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,1900.0
B/A Ratio,0.05263157894736842
B/A Size,100x1900
Beta,0.9
Bid,48.0
Bid Size,100.0
Change Since Close,-0.02| |(-0.04%)
Closing Price,52.62
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.57
Ex-dividend Date,No dividend
Historical Volatility,0.636
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,52.6
Market Cap,3.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,52.62
Shares Outstanding,68.3M
Short Interest,0.0322
Today's Open,
Volume,7.0
Volume 10-day Avg,637033.0
Volume Past Day,(Light)
