,NEWR
Price/Earnings (TTM),
Price/Sales (TTM),4.21706
Price/Book (MRQ),11.12928
Price/Cash Flow (TTM),
5yr Low,33.49
5yr High,129.7
5yr Avg Return,0.06003333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.24417750000000002
Dividend Growth 5yr,
Short Int Current Month,1773377.0
Short Int Prev Month,1899420.0
Short Int Pct of Float,0.032176300000000005
Days to Cover,2.53655
Float,55.1384
Shares Outstanding,68.33808
Institutions Holding Shares,329.0
% Held by Institutions,0.843562
FCF Growth 5yr,-1.8198754049112444
