,ASB
Price/Earnings (TTM),11.47002
Price/Sales (TTM),3.18047
Price/Book (MRQ),0.97877
Price/Cash Flow (TTM),9.69901
5yr Low,10.23
5yr High,29.03
5yr Avg Return,0.013100000000000002
EPS Growth 5yr,0.1155814
Revenue Growth 5yr,0.0016672999999999998
Dividend Growth 5yr,0.11050420000000001
Short Int Current Month,4271051.0
Short Int Prev Month,5167216.0
Short Int Pct of Float,0.0292077
Days to Cover,3.56897
Float,146.5632
Shares Outstanding,150.3592
Institutions Holding Shares,372.0
% Held by Institutions,0.807073
FCF Growth 5yr,0.31833166542027297
