,ASB
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.08173076923076916
Growth 1yr High Est,0.0730593607305936
Growth 1yr Consensus Est,0.07739506498068138
Growth 2yr Low Est,-0.014690170940170999
Growth 2yr High Est,0.11099776547167983
Growth 2yr Consensus Est,0.04815379726575442
Growth 5yr Low Est,0.019672739787911675
Growth 5yr High Est,0.08929459522007702
Growth 5yr Consensus Est,0.054483667503994346
Growth 5yr Actual/Est,0.062357887104230264
Growth 3yr Historic,0.02905136182522791
