,ASB
% Below High,0.0504
% Held by Institutions,0.8070999999999999
52-Wk Range,['17.45 - 25.78']
Annual Dividend $,0.84
Annual Dividend %,0.034300000000000004
Ask,30.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.0
Bid,20.3
Bid Size,500.0
Closing Price,24.48
Day Change $,0.15
Day Change %,0.0062
Day High,24.51
Day Low,24.28
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.312
Last (size),71.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
"P/E Ratio (TTM, GAAP)",11.47
Prev Close,24.33
Shares Outstanding,150.4M
Short Interest,0.0292
Today's Open,24.41
Volume,314882.0
Volume 10-day Avg,1086229.0
Volume Past Day,(Light)
