,RNR
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-2.173684210526316
Growth 1yr High Est,1.1609498680738786
Growth 1yr Consensus Est,-0.5063671712262188
Growth 2yr Low Est,2.5970143969789943
Growth 2yr High Est,1.7593516129136182
Growth 2yr Consensus Est,2.1781830049463062
Growth 5yr Low Est,0.9942214842037829
Growth 5yr High Est,0.7212217001766159
Growth 5yr Consensus Est,0.8577215921901994
Growth 5yr Actual/Est,4.444478065356125
Growth 3yr Historic,3.0866192040890836
