,RNR
Price/Earnings (TTM),
Price/Sales (TTM),1.81117
Price/Book (MRQ),1.9732
Price/Cash Flow (TTM),
5yr Low,113.27
5yr High,202.68
5yr Avg Return,0.06846666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2498412
Dividend Growth 5yr,0.030358
Short Int Current Month,1002382.0
Short Int Prev Month,709625.0
Short Int Pct of Float,0.023344399999999998
Days to Cover,1.61941
Float,42.96635
Shares Outstanding,43.70189
Institutions Holding Shares,450.0
% Held by Institutions,0.980755
FCF Growth 5yr,
