,RNR
% Below High,0.018000000000000002
% Held by Institutions,0.9808
52-Wk Range,['124.18 - 187.89']
Annual Dividend $,1.48
Annual Dividend %,0.0079
Ask,184.69
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,184.21
Bid Size,200.0
Day Change $,-2.07
Day Change %,-0.0111
Day High,186.55
Day Low,183.92
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",-31.2
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.313
Last (size),100.0
Last (time),1:02p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,186.56
Price,184.5
Shares Outstanding,43.7M
Short Interest,0.0233
Today's Open,185.33
Volume Past Day,(Light)
