,PFE
Price/Earnings (TTM),9.3336
Price/Sales (TTM),2.77129
Price/Book (MRQ),2.98133
Price/Cash Flow (TTM),7.87634
5yr Low,27.88
5yr High,61.71
5yr Avg Return,0.08326666666666666
EPS Growth 5yr,0.2743101
Revenue Growth 5yr,0.0900315
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,70044794.0
Short Int Prev Month,54691142.0
Short Int Pct of Float,0.0124848
Days to Cover,3.11317
Float,5610.757
Shares Outstanding,5613.314
Institutions Holding Shares,3826.0
% Held by Institutions,0.680844
FCF Growth 5yr,0.28028632464440195
