,PFE
% Above Low,0.19030000000000002
% Held by Institutions,0.6808
52-Wk Range,['41.45 - 61.71']
Annual Dividend $,1.6
Annual Dividend %,0.0325
Ask,49.34
Ask Size,1500.0
B/A Ratio,0.2
B/A Size,300x1500
Beta,0.7
Bid,49.33
Bid Size,300.0
Day Change $,0.12
Day Change %,0.0024
Day High,49.68
Day Low,49.06
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.29600000000000004
Last (size),1000.0
Last (time),10:35a ET 11/28/22
Market Cap,277.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.33
Prev Close,49.21
Price,49.33
Shares Outstanding,5.6B
Short Interest,0.0125
Today's Open,49.18
Volume Past Day,(Average)
