,TMHC
% Below High,0.1732
% Held by Institutions,1.0098
52-Wk Range,['20.05 - 35.51']
Annual Dividend $,
Annual Dividend %,
Ask,30.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,28.21
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.36
Day Change $,0.01
Day Change %,0.0003
Day High,29.85
Day Low,29.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.79
Ex-dividend Date,No dividend
Historical Volatility,0.495
Last (size),3700.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.34
Prev Close,29.35
Shares Outstanding,108.3M
Short Interest,0.0594
Today's Open,29.28
Volume,1134238.0
Volume 10-day Avg,826605.0
Volume Past Day,(Heavy Day)
