,TMHC
Price/Earnings (TTM),3.33802
Price/Sales (TTM),0.386
Price/Book (MRQ),0.73277
Price/Cash Flow (TTM),2.89286
5yr Low,6.39
5yr High,35.51
5yr Avg Return,0.06533333333333334
EPS Growth 5yr,0.2492355
Revenue Growth 5yr,0.1613965
Dividend Growth 5yr,
Short Int Current Month,6121110.0
Short Int Prev Month,6484769.0
Short Int Pct of Float,0.0593559
Days to Cover,5.94752
Float,103.1753
Shares Outstanding,108.3466
Institutions Holding Shares,382.0
% Held by Institutions,1.009763
FCF Growth 5yr,1.017553607441248
