,TMHC
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.8868686868686868
Growth 1yr High Est,0.8085106382978724
Growth 1yr Consensus Est,0.8476896625832796
Growth 2yr Low Est,0.12651785521164532
Growth 2yr High Est,0.27323927636818757
Growth 2yr Consensus Est,0.19987856578991645
Growth 5yr Low Est,0.12651785521164532
Growth 5yr High Est,0.27323927636818757
Growth 5yr Consensus Est,0.19987856578991645
Growth 5yr Actual/Est,0.4841416025672711
Growth 3yr Historic,0.3888297872340425
