,BECN
% Below High,0.0965
% Held by Institutions,1.0254
52-Wk Range,['45.71 - 65.30']
Annual Dividend $,
Annual Dividend %,
Ask,60.5
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,1.6
Bid,45.0
Bid Size,600.0
Closing Price,59.0
Day Change $,-0.25
Day Change %,-0.0042
Day High,59.71
Day Low,58.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.45
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),24.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,59.25
Shares Outstanding,65.1M
Short Interest,0.0346
Today's Open,58.89
Volume,106113.0
Volume 10-day Avg,462872.0
Volume Past Day,(Light)
