,BECN
Price/Earnings (TTM),10.82454
Price/Sales (TTM),0.46726
Price/Book (MRQ),2.09633
Price/Cash Flow (TTM),6.52721
5yr Low,11.67
5yr High,66.48
5yr Avg Return,0.04503333333333333
Short Int Current Month,1721361.0
Short Int Prev Month,1837845.0
Short Int Pct of Float,0.0346377
Days to Cover,2.71002
Float,49.73974
Shares Outstanding,65.06194
Institutions Holding Shares,297.0
% Held by Institutions,1.025425
FCF Growth 5yr,-2.972356036677963
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
