,MSGS
Price/Earnings (TTM),79.01836
Price/Sales (TTM),4.72457
Price/Book (MRQ),
Price/Cash Flow (TTM),75.28213
5yr Low,136.61
5yr High,330.0
5yr Avg Return,-0.02771666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.09031040000000001
Dividend Growth 5yr,
Short Int Current Month,699157.0
Short Int Prev Month,442244.0
Short Int Pct of Float,0.044670699999999994
Days to Cover,3.90466
Float,15.65137
Shares Outstanding,24.3322
Institutions Holding Shares,328.0
% Held by Institutions,0.788534
FCF Growth 5yr,0.8266655101304267
