,MSGS
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.25373134328358216
Growth 2yr High Est,-0.012096774193548265
Growth 2yr Consensus Est,-0.1329140587385652
Growth 5yr Low Est,-0.25373134328358216
Growth 5yr High Est,-0.012096774193548265
Growth 5yr Consensus Est,-0.1329140587385652
Growth 5yr Actual/Est,-1.4193385951439925
Growth 3yr Historic,-1.3775228527468548
