,MSGS
% Below High,0.12179999999999999
% Held by Institutions,0.7885
52-Wk Range,['136.61 - 182.78']
Annual Dividend $,
Annual Dividend %,
Ask,175.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,146.69
Bid Size,100.0
Closing Price,160.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",79.02
Prev Close,160.51
Shares Outstanding,24.3M
Short Interest,0.0447
Today's Open,
Volume,271934.0
Volume 10-day Avg,164478.0
Volume Past Day,(Heavy Day)
