,TER
% Above Low,0.33140000000000003
% Held by Institutions,1.0061
52-Wk Range,['67.81 - 168.91']
Annual Dividend $,0.44
Annual Dividend %,0.0048
Ask,90.22
Ask Size,300.0
Ask close,96.08
B/A Ratio,4.666666666666667
B/A Size,1400x300
Beta,1.5
Bid,90.22
Bid Size,1400.0
Bid close,84.57
Change Since Close,-0.08| |(-0.09%)
Closing Price,90.28
Day Change $,-2.31
Day Change %,-0.024900000000000002
Day High,92.25
Day Low,89.71
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.535
Last (size),1.0
Last (time),3:59p ET 11/28/22
Last Trade,90.2
Market Cap,14.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.87
Prev Close,92.59
Shares Outstanding,155.8M
Short Interest,0.026099999999999998
Today's Open,91.27
Volume,1293706.0
Volume 10-day Avg,1342565.0
Volume Past Day,(Average)
