,TER
Price/Earnings (TTM),20.86869
Price/Sales (TTM),4.35924
Price/Book (MRQ),6.39887
Price/Cash Flow (TTM),16.38529
5yr Low,28.73
5yr High,168.91
5yr Avg Return,0.25978333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.16128599999999998
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,4048553.0
Short Int Prev Month,3722689.0
Short Int Pct of Float,0.026146500000000003
Days to Cover,2.31646
Float,154.8527
Shares Outstanding,155.7561
Institutions Holding Shares,983.0
% Held by Institutions,1.0061419999999999
FCF Growth 5yr,1.3768039637604854
